# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = KATRIN
# method = sample (Default)
#   sample
#     num_samples = 600
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 4
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = data.R
# init = 2 (Default)
# random
#   seed = 1513717717
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mass,endpoint,A_sig,A_bkg,B_A,B_S,B_max,A1,A2,w1,w2,e2,sigma
-100.999,0.982721,0.0014153,4,15,0,105.296,0.214209,18574,3.36231,1.01094,2.69669,25217.6,41628.4,0.200234,0.0560831,1.8669,12.3549,14.3664,3.62592
-103.004,0.0319915,0.00208631,3,12,1,109.807,0.214377,18574,2.90659,1.01097,2.69666,25217.6,41627.9,0.200232,0.0560859,1.86687,12.3548,14.3664,3.62571
-101.399,0.999412,0.000504568,4,15,0,108.949,0.214335,18574,4.08187,1.01085,2.69664,25216.6,41627,0.200234,0.0560811,1.86695,12.3528,14.3665,3.62516
-101.76,0.941153,0.000768223,4,15,0,106.885,0.214679,18574,4.42273,1.01095,2.69673,25216.9,41626.9,0.200238,0.0560806,1.86714,12.3526,14.3665,3.62475
-102.068,0.946239,0.00104422,4,15,0,106.833,0.214545,18574,2.60065,1.01122,2.69678,25215.9,41626.4,0.200238,0.0560859,1.86722,12.3507,14.3663,3.62509
-102.413,0.997955,0.00142891,4,15,0,109.35,0.214511,18574,4.33019,1.01168,2.69728,25216.2,41626.8,0.200246,0.0560818,1.8671,12.3475,14.3664,3.62589
-102.532,0.181689,0.00214708,3,11,1,106.791,0.214352,18574,4.44914,1.01172,2.6973,25216.7,41627,0.200246,0.0560824,1.8671,12.3474,14.3664,3.62625
-103.051,0.819264,0.000706277,4,15,0,111.945,0.215555,18574,4.65869,1.01153,2.69687,25218.3,41629.2,0.200242,0.0560876,1.86763,12.3478,14.3662,3.625
-102.816,0.962548,0.000762109,4,15,0,108.823,0.215796,18574,3.58031,1.01139,2.69686,25217.8,41629.6,0.200236,0.0560906,1.86778,12.3495,14.3661,3.62452
-102.837,0.999308,0.00106971,4,15,0,110.786,0.2172,18574,3.79381,1.0113,2.69668,25217.5,41629.4,0.200228,0.0560935,1.86746,12.3502,14.3664,3.62349
-100.963,0.525942,0.00160136,4,15,0,109.341,0.213675,18574,3.8924,1.01031,2.69689,25220.3,41630.2,0.200233,0.0560924,1.8669,12.349,14.3664,3.62374
-101.972,0.977704,0.00100665,4,15,0,108.242,0.213719,18574,1.854,1.01017,2.69723,25220.7,41631.5,0.200247,0.0560922,1.86621,12.3485,14.3668,3.62412
-103.242,0.976666,0.092419,4,15,0,108.881,0.213074,18574,1.65214,1.01026,2.69716,25221.1,41631.9,0.20025,0.056093,1.86644,12.3474,14.3668,3.62455
-103.242,0,1.27427,0,1,1,108.463,0.213074,18574,1.65214,1.01026,2.69716,25221.1,41631.9,0.20025,0.056093,1.86644,12.3474,14.3668,3.62455
-103.242,0.00914501,0.212662,2,4,1,114.778,0.213074,18574,1.65214,1.01026,2.69716,25221.1,41631.9,0.20025,0.056093,1.86644,12.3474,14.3668,3.62455
-100.684,0.990568,0.021339,4,15,0,110.704,0.213638,18574,3.49431,1.01003,2.69721,25220.4,41631.7,0.200247,0.0560958,1.86618,12.3467,14.3669,3.62523
-101.616,0.89334,0.0280183,4,15,0,111.099,0.213839,18574,3.02841,1.01005,2.69721,25220.5,41631.7,0.200247,0.0560957,1.86617,12.3467,14.3669,3.62537
-100.711,0.998076,0.0317874,4,15,0,118.964,0.211501,18574,4.58727,1.00992,2.69667,25219.1,41631.7,0.200231,0.0560924,1.86698,12.3462,14.3669,3.626
-100.157,1,0.0532307,4,15,0,107.189,0.211136,18574,2.30539,1.00991,2.6964,25217.9,41632.3,0.200229,0.0560952,1.86707,12.3438,14.3664,3.62545
-96.9078,0.905367,0.0946155,4,15,0,105.916,0.201227,18574,2.21571,1.00941,2.6959,25217.3,41631.6,0.200213,0.0560932,1.86751,12.3424,14.3665,3.62513
-96.3306,0.917961,0.12889,4,15,0,100.327,0.201168,18574,3.74496,1.0094,2.69593,25217.8,41631.5,0.200214,0.0560918,1.86746,12.3419,14.3665,3.6256
-96.3306,0.072233,0.185293,2,5,1,98.5311,0.201168,18574,3.74496,1.0094,2.69593,25217.8,41631.5,0.200214,0.0560918,1.86746,12.3419,14.3665,3.6256
